"tract","Name","Household_Income_rP_gP_p25"
25017354800,"North Cambridge, Cambridge, MA",28886
25025091300,"Dorchester, Boston, MA",28885
25025050300,"Central-Maverick Square / Paris Street, Boston, MA",28820
25025010203,"Fenway/Kenmore, Boston, MA",28382
25025081500,"Roxbury, Boston, MA",28109
25025040600,"Charlestown, Boston, MA",28021
25025020200,"Beacon Hill, Boston, MA",27402
25025090400,"Roxbury, Boston, MA",27356
25025081800,"Roxbury, Boston, MA",27262
25025040100,"Charlestown, Boston, MA",26954
25025060600,"D Street / West Broadway, Boston, MA",26945
25025080500,"South End, Boston, MA",26728
25025081300,"Roxbury, Boston, MA",26580
25025070900,"South End, Boston, MA",26345
25025080401,"Roxbury, Boston, MA",25690
25025060501,"City Point, Boston, MA",25620
25025081200,"Jamaica Plain, Boston, MA",25538
25025060101,"City Point, Boston, MA",25156
25025030400,"North End, Boston, MA",25100
25025010702,"Back Bay East, Boston, MA",25027
25025090901,"Dorchester, Boston, MA",24957
25025081700,"Roxbury, Boston, MA",24502
25017353102,"Area 2/MIT, Cambridge, MA",24417
25025010500,"Prudential / St. Botolph, Boston, MA",24370
25025061200,"D Street / West Broadway, Boston, MA",24244
25025010405,"Fenway/Kenmore, Boston, MA",23989
25025080801,"Fenway/Kenmore, Boston, MA",23219
25025081400,"Highland Park, Boston, MA",23178
25025080601,"Boston, MA",23132
25025010600,"Prudential / St. Botolph, Boston, MA",22825
25025080300,"Roxbury, Boston, MA",22563
25025010801,"Back Bay East, Boston, MA",20092
25025020303,"West End, Boston, MA",18029
25025981800,"Jamaica Hills / Pond, Boston, MA",
25025981202,"D Street / West Broadway, Boston, MA",
25025981300,"Jeffries Point, Boston, MA",
25025981502,"Revere, MA",
25025010103,"Fenway/Kenmore, Boston, MA",
