tract,Name,Household_Income
25025081200,"Jamaica Plain, Boston, MA",34920
25025060600,"D Street / West Broadway, Boston, MA",34761
25025080500,"South End, Boston, MA",34063
25025081500,"Roxbury, Boston, MA",33999
25025010500,"Prudential / St. Botolph, Boston, MA",33950
25025071101,"Harrison Lenox, Boston, MA",33701
25025120500,"Jamaica Plain, Boston, MA",33426
25025090600,"Dudley / Brunswick King, Boston, MA",32905
25025061101,"South Boston, Boston, MA",32873
25025090901,"Dorchester, Boston, MA",32744
25025050300,"Central-Maverick Square / Paris Street, Boston, MA",32611
25025010801,"Back Bay East, Boston, MA",32404
25025020303,"West End, Boston, MA",31954
25025081300,"Roxbury, Boston, MA",31825
25025010405,"Fenway/Kenmore, Boston, MA",31253
25025080401,"Roxbury, Boston, MA",30276
25025081700,"Roxbury, Boston, MA",30037
25025080601,"Boston, MA",29353
25025080300,"Roxbury, Boston, MA",28683
25025081400,"Highland Park, Boston, MA",28094
25025080801,"Fenway/Kenmore, Boston, MA",20171
25025981800,"Jamaica Hills / Pond, Boston, MA",
25025981202,"D Street / West Broadway, Boston, MA",
25025981300,"Jeffries Point, Boston, MA",
25025981502,"Revere, MA",
25025010103,"Fenway/Kenmore, Boston, MA",
