tract,Name,Household_Income
25025030200,"North End, Boston, MA",42156
25025080500,"South End, Boston, MA",41622
25025160501,"Chelsea, MA",40809
25025090901,"Dorchester, Boston, MA",40721
25025081500,"Roxbury, Boston, MA",39979
25025060700,"D Street / West Broadway, Boston, MA",39762
25025010405,"Fenway/Kenmore, Boston, MA",38583
25025000703,"Brighton, Boston, MA",38573
25017353101,"Cambridgeport, Cambridge, MA",37655
25025071101,"Harrison Lenox, Boston, MA",37470
25025081300,"Roxbury, Boston, MA",37059
25025050300,"Central-Maverick Square / Paris Street, Boston, MA",36360
25025090600,"Dudley / Brunswick King, Boston, MA",36329
25025061101,"South Boston, Boston, MA",36168
25025120500,"Jamaica Plain, Boston, MA",36168
25025081700,"Roxbury, Boston, MA",35516
25025080601,"Boston, MA",35506
25025080401,"Roxbury, Boston, MA",34793
25025080300,"Roxbury, Boston, MA",34707
25025081400,"Highland Park, Boston, MA",32889
25025080801,"Fenway/Kenmore, Boston, MA",17311
25025981800,"Jamaica Hills / Pond, Boston, MA",
25025981202,"D Street / West Broadway, Boston, MA",
25025981300,"Jeffries Point, Boston, MA",
25025981502,"Revere, MA",
25025010103,"Fenway/Kenmore, Boston, MA",
